Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
196,Udonis Haslem,PF,31,MIA,64,10,1589,3.4,8.1,0.423,0,0,,3.4,8.1,0.423,1.9,2.3,0.814,2.7,8,10.6,1,0.8,0.5,1.4,3.2,8.7
197,Spencer Hawes,C,23,PHI,37,29,920,6.1,12.5,0.489,0.1,0.5,0.25,6,12,0.498,1.6,2.2,0.727,3.1,7.5,10.6,3.8,0.6,1.9,2.2,3.9,13.9
198,Chuck Hayes,C,28,SAC,54,9,1039,2.5,5.9,0.429,0,0.1,0,2.5,5.8,0.435,0.9,1.4,0.667,2.5,5.6,8.1,2.7,1.2,0.6,1.7,3.8,6
199,Gordon Hayward,SF,21,UTA,66,58,2015,4.8,10.5,0.456,1,2.8,0.346,3.8,7.6,0.496,3.4,4.1,0.832,1.1,3.1,4.1,3.7,0.9,0.7,1.9,1.9,14
200,Lazar Hayward,SF,25,OKC,26,0,141,3.3,9.7,0.342,1,3.6,0.286,2.3,6.1,0.375,1.8,3.1,0.583,0.5,3.6,4.1,1,0.8,0.3,2.3,4.6,9.4
201,Brendan Haywood,C,32,DAL,54,54,1146,3.7,7.2,0.518,0,0,,3.7,7.2,0.518,1.4,3,0.469,4.4,5.8,10.2,0.6,0.8,1.7,1.4,3.8,8.8
202,Gerald Henderson,SG,24,CHA,55,55,1831,6.5,14.2,0.459,0.2,0.9,0.234,6.3,13.3,0.475,3,4,0.76,1.3,3.2,4.4,2.5,1,0.4,2,2.5,16.3
203,Xavier Henry,SG,20,NOH,45,0,759,4.3,10.8,0.395,0.3,0.8,0.412,3.9,10,0.393,2.5,4,0.612,1.1,3.9,5,1.7,1.2,0.4,1.7,2.8,11.3
204,Roy Hibbert,C,25,IND,65,65,1937,6.2,12.4,0.497,0,0,0,6.2,12.4,0.498,3.2,4.4,0.711,4,6.7,10.6,2,0.6,2.4,2.4,3.6,15.5
205,J.J. Hickson,PF,23,TOT,54,19,1244,5.3,11.3,0.467,0,0.1,0,5.3,11.3,0.469,2.5,3.9,0.642,3.8,5.8,9.7,1.3,0.9,1,2,2.5,13.1
206,Cory Higgins,PG,22,CHA,38,0,423,4.4,13.6,0.325,0.3,1.7,0.2,4.1,11.9,0.343,3.6,5.1,0.7,0.6,2.4,3,3.1,0.4,0.5,3.3,3.4,12.8
207,Nenê,C,29,TOT,39,33,1110,6.8,12.7,0.537,0,0.1,0,6.8,12.6,0.542,3.7,5.4,0.673,2,7.4,9.4,2.6,1.4,1.2,3.1,3.1,17.4
208,George Hill,PG,25,IND,50,9,1274,4.7,10.7,0.442,1.5,4.2,0.367,3.2,6.6,0.489,2.6,3.3,0.778,0.9,3.4,4.3,4.1,1.2,0.5,1.5,2.8,13.6
209,Grant Hill*,SF,39,PHO,49,46,1378,5.3,11.8,0.446,0.4,1.4,0.264,4.9,10.4,0.47,2.2,2.8,0.761,0.8,3.7,4.5,2.8,1.1,0.8,1.7,2.3,13
210,Jordan Hill,C,24,TOT,39,8,551,5.4,10.8,0.497,0,0.2,0,5.4,10.6,0.506,2,3.1,0.638,4,8.2,12.2,1,0.9,1.8,2,4.6,12.7
211,Kirk Hinrich,SG,31,ATL,48,31,1237,3.6,8.6,0.414,1.4,4,0.346,2.2,4.6,0.472,0.7,0.9,0.781,0.3,2.6,2.9,3.8,1.1,0.3,1.7,2.9,9.2
212,Darington Hobson,SG,24,MIL,5,0,39,1.8,12,0.154,0,5.5,0,1.8,6.5,0.286,0,0,,0,2.8,2.8,5.5,0,0,1.8,0.9,3.7
213,Jrue Holiday,PG,21,PHI,65,65,2196,5.9,13.7,0.432,1.1,2.8,0.38,4.8,10.9,0.445,1.5,2,0.783,0.9,2.5,3.5,4.8,1.7,0.3,2.2,2.2,14.4
214,Ryan Hollins,C,27,TOT,39,8,522,3.2,5.8,0.548,0,0,,3.2,5.8,0.548,2.7,5.2,0.52,2.3,3.3,5.7,0.6,0.3,1.2,2.4,5.4,9
215,Tyler Honeycutt,SF,21,SAC,15,0,88,3.3,9.8,0.333,0.4,1.2,0.333,2.9,8.6,0.333,1.2,2,0.6,1.2,4.5,5.7,2.9,1.6,1.2,0.8,1.2,8.2
216,Al Horford,C,25,ATL,11,11,348,5.9,10.7,0.553,0,0.1,0,5.9,10.6,0.559,2.3,3.1,0.733,2.7,5.3,8,2.5,1,1.4,1.7,2.2,14.1
217,Dennis Horner,PF,23,NJN,8,0,22,1.6,6.5,0.25,0,1.6,0,1.6,4.9,0.333,4.9,6.5,0.75,3.3,4.9,8.2,0,0,0,1.6,1.6,8.2
218,Dwight Howard,C,26,ORL,54,54,2070,7.2,12.6,0.573,0,0.1,0,7.2,12.5,0.579,4.9,9.9,0.491,3.5,10.2,13.7,1.8,1.4,2,3,2.8,19.4
219,Josh Howard,SF,31,UTA,43,18,991,5.2,13.1,0.399,0.3,1.3,0.243,4.9,11.8,0.417,2.7,3.5,0.773,1.4,4.3,5.7,1.8,1.2,0.4,1.9,3.3,13.5
220,Juwan Howard,PF,38,MIA,28,0,190,3.2,10.4,0.309,0,0,,3.2,10.4,0.309,1.5,1.9,0.8,3.4,5.5,8.9,1.9,0.8,0.2,3.8,3.4,8
221,Lester Hudson,PG,27,TOT,16,0,334,6.7,17.5,0.383,1.7,6.9,0.25,5,10.6,0.469,3.7,4.4,0.829,0.8,4.2,5,3.9,1.5,0.3,3.4,2.8,18.8
222,Larry Hughes,PG,33,ORL,9,0,114,1.6,6.9,0.227,0.3,2.2,0.143,1.3,4.7,0.267,0.3,0.6,0.5,0.3,1.3,1.6,2.2,0.6,0,3.8,3.2,3.8
223,Kris Humphries,PF,26,NJN,62,62,2162,5.4,11.2,0.481,0,0,,5.4,11.2,0.481,3.5,4.6,0.752,3.9,7.5,11.3,1.5,0.8,1.2,2,2.9,14.2
224,Serge Ibaka,PF,22,OKC,66,66,1792,5.3,9.8,0.535,0,0.1,0.333,5.2,9.8,0.536,1.6,2.4,0.661,3.9,6.1,10,0.6,0.7,4.8,1.6,3.6,12.1
225,Andre Iguodala,SF,28,PHI,62,62,2209,4.7,10.3,0.454,1.2,3.1,0.394,3.4,7.2,0.481,2,3.2,0.617,0.9,5.3,6.2,5.5,1.7,0.5,1.9,1.5,12.6
226,Ersan _lyasova,PF,24,MIL,60,41,1655,6.4,13,0.492,1.1,2.4,0.455,5.3,10.5,0.501,3.1,4,0.781,4.3,7.2,11.5,1.5,0.9,1,1.7,2.9,17
